StockCode,Selling Price,Purchase Price,Unit Profit,infoID
85048,6.95,5.79,1.16,1
79323P,6.75,5.62,1.12,2
79323W,6.75,5.62,1.12,3
22041,2.1,1.75,0.35,4
21232,1.25,1.04,0.21,5
22064,1.65,1.38,0.27,6
21871,1.25,1.04,0.21,7
21523,5.95,4.96,0.99,8
22350,2.55,2.12,0.42,9
22349,3.75,3.12,0.62,10
22195,1.65,1.38,0.27,11
22353,2.55,2.12,0.42,12
48173C,5.95,4.96,0.99,13
21755,5.45,4.54,0.91,14
21754,5.95,4.96,0.99,15
84879,1.69,1.41,0.28,16
22119,6.95,5.79,1.16,17
22142,1.45,1.21,0.24,18
22296,1.65,1.38,0.27,19
22295,1.65,1.38,0.27,20
22109,3.39,2.82,0.56,21
22107,3.75,3.12,0.62,22
22194,8.5,7.08,1.42,23
35004B,4.65,3.88,0.77,24
82582,2.1,1.75,0.35,25
21181,2.1,1.75,0.35,26
21756,5.95,4.96,0.99,27
21333,2.95,2.46,0.49,28
84596F,1.25,1.04,0.21,29
84596L,1.25,1.04,0.21,30
22111,4.25,3.54,0.71,31
22143,2.1,1.75,0.35,32
22145,2.1,1.75,0.35,33
22130,0.85,0.71,0.14,34
21364,6.75,5.62,1.12,35
21360,9.95,8.29,1.66,36
21351,6.75,5.62,1.12,37
21352,6.75,5.62,1.12,38
35400,8.95,7.46,1.49,39
20695,4.25,3.54,0.71,40
37370,1.25,1.04,0.21,41
10002,0.85,0.71,0.14,42
84507B,2.55,2.12,0.42,43
20703,4.25,3.54,0.71,44
21987,0.65,0.54,0.11,45
21989,0.85,0.71,0.14,46
84970S,0.85,0.71,0.14,47
20971,1.25,1.04,0.21,48
22271,2.95,2.46,0.49,49
22272,2.95,2.46,0.49,50
22274,2.95,2.46,0.49,51
21912,3.75,3.12,0.62,52
22112,4.95,4.12,0.83,53
21329,0.98,0.82,0.16,54
21252,1.69,1.41,0.28,55
21100,1.15,0.96,0.19,56
21033,2.0,1.67,0.33,57
20711,1.3,1.08,0.22,58
21410,2.5,2.08,0.42,59
21411,2.5,2.08,0.42,60
84031A,3.0,2.5,0.5,61
84031B,3.0,2.5,0.5,62
84032A,1.9,1.58,0.32,63
84032B,1.9,1.58,0.32,64
84519A,2.15,1.79,0.36,65
84519B,2.4,2.0,0.4,66
85132A,6.38,5.32,1.06,67
85132C,6.4,5.33,1.07,68
85183A,2.4,2.0,0.4,69
85183B,2.4,2.0,0.4,70
22065,1.45,1.21,0.24,71
22138,4.95,4.12,0.83,72
22139,4.95,4.12,0.83,73
22352,2.55,2.12,0.42,74
85014A,5.95,4.96,0.99,75
85014B,5.95,4.96,0.99,76
16161P,0.42,0.35,0.07,77
